day_of_year,mean,min,max
237,11652.33333,7638,13928
238,11865,8025,14008
239,11746.8,7629,14260
240,12109.6,7633,14959
241,12422.66667,7496,14718
242,12180.06667,7702,14668
243,11811.73333,7865,14391
244,11233.46667,7620,14458
245,11027.46667,7896,13904
246,11150.6,7817,14427
247,11420.73333,7399,14657
248,11713.13333,7586,15440
249,11936.46667,7587,15391
250,11561.33333,7770,15454
251,11992.6,7737,15018
252,12545.46667,8347,16081
253,12239.4,7930,14887
254,11857.26667,7501,14474
255,12581.4,7749,15078
256,12275.66667,7871,14769
257,12128.06667,8109,15099
258,12183.8,7865,14762
259,12374.13333,8283,14399
260,12138.06667,7867,14736
261,12389.46667,7724,15194
262,12718.26667,7899,15205
263,12558.4,8014,15139
264,12128.06667,8002,14965
265,11959,7817,14708
266,12231.2,8495,14376
267,11979.06667,8007,14464
268,12187.66667,7609,14788
269,12474.46667,7543,14912
270,12173.06667,7817,14519
271,11745.26667,7639,14281
272,11593.8,7618,13882
273,11745.06667,7983,13465
274,11696.6,7607,13737
275,11894.06667,7419,14231
276,12171.46667,7380,14550
277,11804.13333,7443,14214
278,11514.26667,7484,14212
279,11377.13333,7471,13829
280,11536.4,7744,13523
281,11341.8,7367,13728
282,11480,7160,14033
283,11975.26667,8490,14480
284,11606.2,7268,14086
285,11307.86667,7283,13985
286,10942.06667,7172,13405
287,11241.73333,7579,13274
288,11249.4,7408,13396
289,11462.93333,7145,14039
290,11759.93333,7181,14304
291,11550.2,7356,13877
292,11142.93333,7279,13648
293,11076.8,7121,13327
294,11326.4,7506,13300
295,11170.73333,7279,13478
296,11382.73333,7104,13681
297,11750.86667,7242,14153
298,11547.13333,7120,13874
299,11198.26667,7576,13974
300,11105.4,7139,13464
301,11363.26667,7560,13426
302,11083.53333,7362,13528
303,11134.46667,6870,13389
304,10541.6,6895,12950
305,11380.4,7519,13969
306,11348.86667,7716,13920
307,11253.6,7368,13589
308,11436.26667,7533,13374
309,11243.8,7436,13244
310,11390.93333,7236,14159
311,11721.2,7251,13905
312,11539.46667,7260,13798
313,11169.46667,7479,13783
314,11128.4,7258,13571
315,11461.8,7599,14392
316,11165.4,7219,13669
317,11148.53333,6877,13640
318,11613.66667,7120,14229
319,11620.2,7232,14432
320,11309.26667,7219,14156
321,11221.06667,7225,14158
322,11504.46667,7495,13330
323,11292.93333,7390,13944
324,11755,7218,14808
325,12106.66667,7285,14835
326,11065.86667,7230,14175
327,10058.4,7267,13762
328,9722.933333,6894,14238
329,10385.66667,7162,13732
330,10073.13333,6864,13929
331,10096,6879,14707
332,10320.4,7126,14575
333,10968.93333,7169,13997
334,11091.53333,7228,13445
335,11255.8,7315,13916
336,11512.46667,7385,13454
337,11243.26667,7204,14138
338,11305.13333,6957,13878
339,11598.53333,7122,13859
340,11328.86667,7103,13840
341,10973.2,7196,13619
342,10906.86667,7226,13372
343,11168.13333,7498,13179
344,10992.6,7003,13112
345,11247.4,6832,13962
346,11743.6,7134,14301
347,11528.93333,7027,14667
348,11156.06667,7291,13993
349,11170.93333,7305,13586
350,11528.66667,7432,13649
351,11531.73333,7146,13900
352,11932,6876,14983
353,12486,7257,14941
354,12380.46667,7225,15214
355,12002.2,7382,14808
356,11560.13333,7535,14390
357,10882.4,7245,13831
358,8575.266667,6688,13374
359,6828.466667,5728,9235
360,8943.533333,6259,12306
361,11612.73333,7087,15590
362,12122.66667,7724,15555
363,12014.73333,7677,14600
364,12206,7840,14700
365,10838.46667,7545,15645
366,10390.5,7892,12906
